2026-03-15 18:05:55 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-15 18:05:55 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
2026-03-15 18:06:10 | vector_store | INFO     | vector_store.py:72 | Ingesting 1313 documents...
2026-03-15 18:07:01 | vector_store | INFO     | vector_store.py:77 | Successfully ingested 1313 documents
2026-03-15 22:21:50 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-15 22:21:50 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
2026-03-15 22:22:09 | vector_store | INFO     | vector_store.py:72 | Ingesting 1313 documents...
2026-03-15 22:22:51 | vector_store | INFO     | vector_store.py:77 | Successfully ingested 1313 documents
2026-03-15 22:23:14 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-15 22:23:14 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
2026-03-15 22:24:55 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-15 22:24:55 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
2026-03-15 22:24:55 | vector_store | WARNING  | vector_store.py:110 | Clearing collection: rag_collection
2026-03-15 22:24:55 | vector_store | INFO     | vector_store.py:120 | Collection cleared successfully
2026-03-15 22:24:55 | vector_store | INFO     | vector_store.py:72 | Ingesting 5 documents...
2026-03-15 22:24:57 | vector_store | INFO     | vector_store.py:77 | Successfully ingested 5 documents
2026-03-15 22:24:57 | vector_store | WARNING  | vector_store.py:110 | Clearing collection: rag_collection
2026-03-15 22:24:57 | vector_store | INFO     | vector_store.py:120 | Collection cleared successfully
2026-03-15 22:24:57 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-15 22:24:57 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
2026-03-15 22:24:57 | vector_store | WARNING  | vector_store.py:110 | Clearing collection: rag_collection
2026-03-15 22:24:57 | vector_store | INFO     | vector_store.py:120 | Collection cleared successfully
2026-03-15 22:24:57 | vector_store | INFO     | vector_store.py:72 | Ingesting 5 documents...
2026-03-15 22:24:58 | vector_store | INFO     | vector_store.py:77 | Successfully ingested 5 documents
2026-03-15 22:24:58 | vector_store | WARNING  | vector_store.py:110 | Clearing collection: rag_collection
2026-03-15 22:24:58 | vector_store | INFO     | vector_store.py:120 | Collection cleared successfully
2026-03-15 22:24:58 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-15 22:24:58 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
2026-03-15 22:24:58 | vector_store | WARNING  | vector_store.py:110 | Clearing collection: rag_collection
2026-03-15 22:24:58 | vector_store | INFO     | vector_store.py:120 | Collection cleared successfully
2026-03-15 22:24:58 | vector_store | WARNING  | vector_store.py:110 | Clearing collection: rag_collection
2026-03-15 22:24:58 | vector_store | INFO     | vector_store.py:120 | Collection cleared successfully
2026-03-15 22:30:07 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-15 22:30:07 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
